SampleID,sampleID_ENA,Campaign,SiteLabel,EventID,Logsheet,Objective,DateTime,Latitude,Longitude,Depth,Depth_unit,Country,CoastDistance,LME,LMEDistance,MarineRegion,MRGID,ENVIRO_Biome,ENVIRO_Feature,ENVIRO_Material,EVENT_device,SAMPLE_description,SAMPLE_platform,SAMPLE_Protocol,SAMPLE_Quantity,SAMPLE_Container,SAMPLE_Content,SAMPLE_FilterUpper,SAMPLE_FilterLower,SAMPLE_TreatmentChemicals,SAMPLE_TreatmentStorage,BiosampleAccessionNumber,SampleAssessionNumber,Temperature,Temperature_unit,Temperature_flag,Salinity,Salinity_unit,Salinity_flag,pH,pH_unit,pH_flag,PO43,PO43_unit,PO43_flag,NO3,NO3_unit,NO3_flag,POC,POC_unit,POC_flag,NO2,NO2_unit,NO2_flag,DOC,DOC_unit,DOC_flag,NanoMicroPlankton,NanoMicroPlankton_unit,NanoMicroPlankton_flag,PAR,PAR_unit,PAR_flag,Conductivity,Conductivity_unit,Conductivity_flag,PP_C,PP_C_unit,PP_C_flag,Oxygen,Oxygen_unit,Oxygen_flag,PON,PON_unit,PON_flag,MesoMacroPlankton,MesoMacroPlankton_unit,MesoMacroPlankton_flag,BacterialProduction_C,BacterialProduction_C_unit,BacterialProduction_C_flag,DON,DON_unit,DON_flag,NH4+,NH4+_unit,NH4+_flag,SiOH4,SiOH4_unit,SiOH4_flag,Turbidity,Turbidity_unit,Turbidity_flag,Fluorometer,Fluorometer_unit,Fluorometer_flag,Chl_a,Chl_a_unit,Chl_a_flag
OSD1_2014-06_NPL022_1,OSD1_2014-06-21_0m_NPL022,OSD2014,OSD1,OSD1_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD1_20140621T1110Z.pdf,To collect surface seawater on the summer solstice day from the L4 mooring in the Western English Channel (OSD1) and to filter the water using the standardized protocol NPL022. The filters will be sent to Germany and subsequently processed and analysed for the prokariotic fraction. The results will be part of the global campaign OSD data-set which will allow the scientific community to better understand the microbial diversity and function in the light of climate change assessment. The data-set so established will be used as a reference for future studies and the base for developing biotechnologies.,2014-06-21T11:10,50.151,-4.13,0,m,GBR,17175,Celtic-Biscay Shelf,0,English Channel,2389,marine pelagic biome ENVO:01000023,surface water ENVO:00002042,sea water ENVO:00002149,10 L Niskin bottle,20 L of surface seawater (0-2m) were aliquoted and filtered through 5 sterivex cartridge filters using a peristaltic pump.,Research vessel - MBA SEPIA,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275646,ERS667668,16.66,centigrade,,35.22,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,734.55,micromol/m^2/s,,not present,not present,,not present,not present,,245.46,micromol/kg,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.47,FTU,,not present,not present,,not present,not present,
OSD10_2014-06_NPL022_1,OSD10_2014-06-21_1m_NPL022,OSD2014,OSD10,OSD10_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD10_20140621T2050Z.pdf,Collect surface water for OSD from a Laurentian Great Lake,2014-06-21T20:50,41.839834,-83.18995,1,m,USA,11479,not present,not present,Detroit River / Lake Erie,31873,Large lake biome ENVO:00000891,surface water ENVO:00002042,fresh water ENVO:00002011,20L carboy,Surface water samples from Lake Erie,RV Huron Explorer,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275636,ERS667657,22.4,centigrade,,0.14,PSU,,8.78,dimensionless,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,284,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,2.06,mg/m^3,
OSD100_2014-06_NPL022_1,OSD100_2014-06-22_1m_NPL022,OSD2014,OSD100,OSD100_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD100_20140622T0800Z.pdf,Water sampling for prokaryotes.,2014-06-22T08:00,35.35,25.29,1,m,GRC,1498,Mediterranean Sea,0,Aegean Sea,3315,oceanic epipelagic zone biome ENVO:01000035,surface water ENVO:00002042,oligotrophic water ENVO:00002223,Niskin bottles,Surface and DCM water sample from the OSD100 station.,Research Vessel Alkyon,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275547,ERS667565,24.21,centigrade,,39.05,PSU,,8.2,dimensionless,,0.01,micromol/l,,0.05,micromol/l,,0,microgram/l,,0.04,micromol/l,,not present,not present,,not present,not present,,312.83,micromol/m^2/s,,57.59,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.01,micromol/l,,0.68,micromol/l,,not present,not present,,0.043,V,,not present,not present,
OSD100_2014-06_NPL022_2,OSD100_2014-06-22_20m_NPL022,OSD2014,OSD100,OSD100_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD100_20140622T0800Z.pdf,Water sampling for prokaryotes.,2014-06-22T08:00,35.35,25.29,20,m,GRC,1498,Mediterranean Sea,0,Aegean Sea,3315,marine biome ENVO:00000447,deep chlorophyll maximum layer ENVO:01000326,sea water ENVO:00002149,Niskin bottles,Surface and DCM water sample from the OSD100 station.,Research Vessel Alkyon,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275548,ERS667566,23.13,centigrade,,39.11,PSU,,8.2,dimensionless,,0.05,micromol/l,,0.16,micromol/l,,0,microgram/l,,0.06,micromol/l,,not present,not present,,not present,not present,,323.4,micromol/m^2/s,,5.64,mS/cm,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,0.35,micromol/l,,0.82,micromol/l,,not present,not present,,0.256,V,,not present,not present,
OSD101_2014-06_NPL022_1,OSD101_2014-06-21_0m_NPL022,OSD2014,OSD101,OSD101_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD101_20140621T1105Z.pdf,OSD2014 at Madeira Island,2014-06-21T11:05,32.741808,-16.711281,0,m,PRT,0,Iberian Coastal,not present,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,ACID WASHED RECIPIENT,Surface Sample,Land,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275546,ERS667564,20.5,centigrade,,37,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD102_2014-06_NPL022_1,OSD102_2014-06-21_0m_NPL022,OSD2014,OSD102,OSD102_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD102_20140621T1200Z.pdf,OSD2014 at Madeira Island,2014-06-21T12:00,32.64605,-16.910158,0,m,PRT,0,Iberian Coastal,not present,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,ACID WASHED RECIPIENT,OSD102-MARINA DO FUNCHAL,Land,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275545,ERS667563,20.8,centigrade,,36,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD103_2014-06_NPL022_1,OSD103_2014-06-21_0m_NPL022,OSD2014,OSD103,OSD103_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD103_20140621T1015Z.pdf,OSD2014 at Madeira Island,2014-06-21T10:15,32.7747,-16.828664,0,m,PRT,0,Iberian Coastal,not present,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,ACID WASHED RECIPIENT,OSD103-PORTO DA CRUZ at MADEIRA_ATLANTIC OCEAN,Land,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275544,ERS667562,20.2,centigrade,,37,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD105_2014-06_NPL022_1,OSD105_2014-06-21_4.12m_NPL022,OSD2014,OSD105,OSD105_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD105_20140621T1839Z.pdf,"As part of the Arctic Science partnership, the Cambridge Bay campaign aims to investigate the physical, chemical, and biological interactions between atmosphere, sea ice, and ocean",2014-06-21T18:39,69.023323,-105.34339,4.12,m,CAN,7116,Beaufort Sea,0,Northwestern Passages,5698,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,peristaltic pump,measured as depth below sea surface. ice thickness: 1.9 m,"92, ice shelf",NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275543,ERS667561,-0.72,centigrade,,26.91,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD106_2014-06_NPL022_1,OSD106_2014-06-20_0m_NPL022,OSD2014,OSD106,OSD106_2014-06,http://store.pangaea.de/Projects/OSD_2014/OSD106_20140620T1100Z.pdf,Microbial diversity,2014-06-20T11:00,65.9449,-22.4192,0,m,ISL,1080,Iceland Shelf and Sea,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Clean Water Bottles,not present,Small research vessel,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275542,ERS667560,7.6,centigrade,,19,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
OSD106_2014-06_NPL022_2,OSD106_2014-06-20_15m_NPL022,OSD2014,OSD106,OSD106_2014-06,not present,Microbial diversity,2014-06-20T11:30,65.9449,-22.4192,15,m,ISL,1080,Iceland Shelf and Sea,0,North Atlantic Ocean,1912,marine biome ENVO:00000447,surface water ENVO:00002042,sea water ENVO:00002149,Clean Water Bottles,At bottom,Small research vessel,NPL022 (Protocol A),see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,see logsheet,SAMEA3275541,ERS667559,7.5,centigrade,,29.2,PSU,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,,not present,not present,
