ColumnTitle,Description,Unit
SampleID,"Sampling id, constructed as OSD{SiteLabel}_{year}-{month}_{protocol}_{replicate}",None
sampleID_ENA,"Sample ID, with structure as in ENA (Sample Title)",None
Campaign,Campaign name,None
SiteLabel,Local site number,None
EventID,Event ID as used in later OSD years. constructed as {SiteLabel}_{year}-{month},None
Logsheet,The URL to the logsheet for each sampling event,None
Objective,Objective,None
DateTime,Date and time,None
Latitude,Latitude of event,decimal degree
Longitude,Longitude of event,decimal degree
Depth,Depth sample was taken from ,metre
Depth_unit,The recorded unit for Depth,None
Country,ISO 3-letter code,None
CoastDistance,Distance to the coast line,metre
LME,Large Marine Ecosystem,None
LMEDistance,Distance to the nearest LME,metre
MarineRegion,Marine Region name,None
MRGID,Marine Region Geographic Id,None
ENVIRO_Biome,Descriptor of the broad ecological context of a sample,None
ENVIRO_Feature,Feature is a descriptor of a geographical aspect or physical entity that strongly influences the more local environment of a sample,None
ENVIRO_Material,"Material that was sampled, or where it was embedded",None
EVENT_device,Sampling device,None
SAMPLE_description,Description of sample,None
SAMPLE_platform,Platform from which the sampling occurred,None
SAMPLE_Protocol,Protocol: NPL022 Protocol A or NE08 Protocol B,None
SAMPLE_Quantity,"Sampled quantity: not transposed from the paper logsheets so see ""logsheet""",None
SAMPLE_Container,"Sampled container: not transposed from the paper logsheets so see ""logsheet""",None
SAMPLE_Content,"Sampled content: not transposed from the paper logsheets so see ""logsheet""",None
SAMPLE_FilterUpper,"Sampled filter size: not transposed from the paper logsheets so see ""logsheet""",None
SAMPLE_FilterLower,"Sampled filter size: not transposed from the paper logsheets so see ""logsheet""",None
SAMPLE_TreatmentChemicals,"Sampled treatment: not transposed from the paper logsheets so see ""logsheet""",None
SAMPLE_TreatmentStorage,"Sampled treatment: not transposed from the paper logsheets so see ""logsheet""",None
BiosampleAccessionNumber,ENA biosample accession number. Can be accessed via https://www.ebi.ac.uk/ena/data/view/[the ENA ID],None
BiosampleAccessionNumber_comment,comment about the ENA biosample accession number,None
SampleAssessionNumber,ENA sample accession number. Can be accessed via https://www.ebi.ac.uk/ena/data/view/[the ENA ID],None
SampleAssessionNumber_comment,comment about the ENA sample accession number,None
Temperature,Temperature of the water,celsius
Temperature_unit,The recorded unit for Temperature,None
Temperature_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Temperature",None
Salinity,Salinity of the water,psu
