ColumnTitle,Description,Datatype,Property,ObservablePropertyUrl,Unit,UnitUrl
SampleID,"Sampling id, constructed as OSD{SiteLabel}_{year}-{month}_{protocol}_{replicate}",xsd:string,schema:identifier,,None,None
sampleID_ENA,"Sample ID, with structure as in ENA (Sample Title)",xsd:string,schema:identifier,,,
Campaign,Campaign name,xsd:string,schema:identifier,,None,None
SiteLabel,Local site number,xsd:string,schema:identifier,,None,None
EventID,Event ID as used in later OSD years. constructed as {SiteLabel}_{year}-{month},xsd:string,schema:identifier,,None,None
Logsheet,The URL to the logsheet for each sampling event,xsd:anyURI,schema:URL,,None,None
Objective,Objective,xsd:string,schema:description,,None,None
DateTime,Date and time,xsd:datetime,schema:DateTime,,None,None
Latitude,Latitude of event,xsd:double,schema:latitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
Longitude,Longitude of event,xsd:double,schema:longitude,,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
Depth,Depth sample was taken from ,xsd:double,schema:depth,,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
Depth_unit,The recorded unit for Depth,,,,,
Country,ISO 3-letter code,xsd:string,schema:Country,,,None
CoastDistance,Distance to the coast line,xsd:integer,schema:Distance,,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
LME,Large Marine Ecosystem,xsd:string,schema:location,,None,None
LMEDistance,Distance to the nearest LME,xsd:integer,schema:Distance,,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
MarineRegion,Marine Region name,xsd:string,schema:location,,None,None
MRGID,Marine Region Geographic Id,xsd:integer,schema:identifier,,None,None
ENVIRO_Biome,Descriptor of the broad ecological context of a sample,xsd:string,schema:location,,None,None
ENVIRO_Feature,Feature is a descriptor of a geographical aspect or physical entity that strongly influences the more local environment of a sample,xsd:string,schema:description,,None,None
ENVIRO_Material,"Material that was sampled, or where it was embedded",xsd:string,schema:description,,None,None
EVENT_device,Sampling device,xsd:string,sosa:madeBySampler,,None,None
SAMPLE_description,Description of sample,xsd:string,schema:description,,None,None
SAMPLE_platform,Platform from which the sampling occurred,xsd:string,,,None,None
SAMPLE_Protocol,Protocol: NPL022 Protocol A or NE08 Protocol B ( see OSD IMIS metadata record for a copy of these),xsd:string,sosa:usedProcedure,,None,None
SAMPLE_Quantity,"Sampled quantity: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
SAMPLE_Container,"Sampled container: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
SAMPLE_Content,"Sampled content: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
SAMPLE_FilterUpper,"Sampled filter size: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
SAMPLE_FilterLower,"Sampled filter size: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
SAMPLE_TreatmentChemicals,"Sampled treatment: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
SAMPLE_TreatmentStorage,"Sampled treatment: not transposed from the paper logsheets so see ""logsheet""",,,,None,None
BiosampleAccessionNumber,ENA biosample accession number. Can be accessed via https://www.ebi.ac.uk/ena/data/view/[the ENA ID],xsd:string,schema:identifier,,None,None
BiosampleAccessionNumber_comment,comment about the ENA biosample accession number,,,,None,None
SampleAssessionNumber,ENA sample accession number. Can be accessed via https://www.ebi.ac.uk/ena/data/view/[the ENA ID],xsd:string,schema:identifier,,None,None
SampleAssessionNumber_comment,comment about the ENA sample accession number,,,,None,None
Temperature,Temperature of the water,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/TEMP,celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
Temperature_unit,The recorded unit for Temperature,,,,,
Temperature_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Temperature",,,,,
Salinity,Salinity of the water,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/PSAL/,psu,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/
Salinity_unit,The recorded unit for Salinity,,,,,
Salinity_flag,"Flag for when the recorded unit differs from the proposed unit, for column: Salinity",,,,,
pH,"Alkalinity, acidity and pH of the water column",xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/ALKY/,None,None
pH_unit,The recorded unit for pH,,,,,
pH_flag,"Flag for when the recorded unit differs from the proposed unit, for column: pH",,,,,
PO43,Phosphate concentration parameters in the water column,xsd:double,qudt:numericValue,http://vocab.nerc.ac.uk/collection/P02/current/PHOS/,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
PO43_unit,The recorded unit for PO43,,,,,
PO43_flag,"Flag for when the recorded unit differs from the proposed unit, for column: PO43",,,,,
