PangeaColumnNumber,PangeaColumnName,ImisColumnNumber,ImisColumnName,Notes
1,Sample ID,1,SampleID,different formatting
2,Sample label,31,BiosampleAccessionNumber,
3,Sample label,not present,not present,
4,Sample label,32,SampleAssessionNumber,
5,Access no gen,not present,not present,
6,Campaign,2,Campaign,different formatting
7,Site,3,SiteLabel, 
8,Site,not present,not present,
9,Event,4,EventID,different formatting
10,Method/Device,not present,not present,
11,Comment,not present,not present,
12,URI,5,LogSheet,
13,Date/Time,7,DateTime,
14,Latitude,8,Latitude,
15,Longitude,9,Longitude,
16,Date/Time 2,not present,not present,
17,Latitude 2,not present,not present,
18,Longitude 2,not present,not present,
19,Depth water,10,Depth,
20,TZ,not present,not present,
21,Local time,not present,not present,
22,Country,11,Country,
23,Country,12,CoastDistance,
24,BG province,not present,not present,
25,BG province,not present,not present,
26,BG province,not present,not present,
27,LME,13,LME,
28,LME,14,LMEdistance,
29,Locality,not present,not present,
30,Locality,not present,not present,
31,URL ref,not present,not present,
32,Biome,17,ENVIRO_Biome,
33,Env feature,18,ENVIRO_Feature,
34,Material,19,ENVIRO_Material,
35,Sample method,23,SAMPLE_Protocol,
36,Sample method,24,SAMPLE_Quantity,
37,Sample method,25,SAMPLE_Container,
38,Sample method,26,SAMPLE_Content,
39,Sample method,27,SAMPLE_FilterUpper,
40,Sample method,28,SAMPLE_FilterLower,
41,Sample method,29,SAMPLE_TreatmentChemicals,
42,Sample method,30,SAMPLE_TreatmentStorage,
43,Temp,33,Temperature,
44,Sal,34,Salinity,
45,pH,35,pH,
46,[PO4]3-,36,PO43,
47,[NO3]-,37,NO3,
48,POC,38,POC,
49,[NO2]-,39,NO2,
50,DOC,40,DOC,
51,Plank,41,NanoMicroPlankton,
52,PAR,42,PAR,
53,Cond,43,Conductivity,
54,PP C,44,PP_C,
55,O2,45,Oxygen,
56,PON,46,PON,
57,Plank,47,MesoMacroPlankton,
58,Bact prod C,48,BacterialProduction_C,
59,DON,49,DON,
60,[NH4]+,50,NH4+,
61,Si(OH)4,51,SiOH4 ,
62,Turbidity,52,Turbidity,
63,Fluorometer,53,Fluorometer,
64,Chl a,54,Chl_a,
not present,not present,15,MarineRegion,
not present,not present,16,MRGID,
not present,not present,20,EVENT_Device,
not present,not present,6,Objective,
not present,not present,21,SAMPLE_Description,
not present,not present,22,SAMPLE_Platform,
