sampleID_pangea,sampleID_imis,Campaign_pangea,Campaign_imis,Event_pangea,eventID_imis
OSD1_2014-06-21_0m_NPL022,OSD1_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD1_20140621T1110Z ,OSD1_2014-06
OSD10_2014-06-21_1m_NPL022,OSD10_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD10_20140621T2050Z ,OSD10_2014-06
OSD100_2014-06-22_1m_NPL022,OSD100_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD100_20140622T0800Z ,OSD100_2014-06
OSD100_2014-06-22_20m_NPL022,OSD100_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD100_20140622T0800Z,OSD100_2014-06
OSD101_2014-06-21_0m_NPL022,OSD101_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD101_20140621T1105Z ,OSD101_2014-06
OSD102_2014-06-21_0m_NPL022,OSD102_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD102_20140621T1200Z ,OSD102_2014-06
OSD103_2014-06-21_0m_NPL022,OSD103_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD103_20140621T1015Z ,OSD103_2014-06
OSD105_2014-06-21_4.12m_NPL022,OSD105_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD105_20140621T1839Z ,OSD105_2014-06
OSD106_2014-06-20_0m_NPL022,OSD106_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD106_20140620T1100Z ,OSD106_2014-06
OSD106_2014-06-20_15m_NPL022,OSD106_2014-06_NPL022_2,OSD-Jun-2014,OSD2014,OSD106_20140620T1130Z ,OSD106_2014-06
OSD107_2014-06-20_0m_NPL022,OSD107_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD107_20140620T0950Z ,OSD107_2014-06
OSD108_2014-06-20_0m_NPL022,OSD108_2014-06_NPL022_1,OSD-Jun-2014,OSD2014,OSD108_20140620T1140Z ,OSD108_2014-06
