SAMEA num,"sampleID (ENA, PANGAEA)",sampleID (IMIS),run accession MG,run accession 18S,run accession 16S
SAMEA3275465,OSD191_2014-07-02_0m_NPL022,OSD191_2014-06_NPL022_1,NA,NA,ERR867782
SAMEA3275466,OSD190_2014-07-13_0m_NPL022,OSD190_2014-06_NPL022_1,NA,NA,ERR867783
SAMEA3275467,OSD189_2014-06-24_0m_NPL022,OSD189_2014-06_NPL022_1,NA,NA,ERR867786
SAMEA3275468,OSD188_2014-06-24_0m_NPL022,OSD188_2014-06_NPL022_1,NA,NA,ERR867787
SAMEA3275469,OSD186_2014-06-21_2.4m_NPL022,OSD186_2014-06_NPL022_1,ERR771028,ERR867789,ERR867788
SAMEA3275470,OSD185_2014-06-24_3m_NPL022,OSD185_2014-06_NPL022_1,ERR771029,ERR867790,ERR867791
SAMEA3275471,OSD184_2014-06-24_3m_NPL022,OSD184_2014-06_NPL022_1,ERR771030,ERR867793,ERR867792
SAMEA3275472,OSD183_2014-06-24_3m_NPL022,OSD183_2014-06_NPL022_1,ERR771031,ERR867794,ERR867795
SAMEA3275473,OSD182_2014-06-24_3m_NPL022,OSD182_2014-06_NPL022_1,ERR771032,ERR867796,ERR867797
SAMEA3275474,OSD178_2014-06-24_3m_NPL022,OSD178_2014-06_NPL022_1,ERR771034,ERR867800,ERR867801
SAMEA3275475,OSD177_2014-06-24_3m_NPL022,OSD177_2014-06_NPL022_1,ERR771035,ERR867802,ERR867803
SAMEA3275476,OSD176_2014-06-24_3m_NPL022,OSD176_2014-06_NPL022_1,ERR771036,ERR867805,ERR867804
SAMEA3275477,OSD175_2014-06-24_3m_NPL022,OSD175_2014-06_NPL022_1,ERR771037,ERR867807,ERR867806
SAMEA3275478,OSD174_2014-06-25_3m_NPL022,OSD174_2014-06_NPL022_1,ERR771038,ERR867808,ERR867809
SAMEA3275479,OSD173_2014-06-25_3m_NPL022,OSD173_2014-06_NPL022_1,ERR771039,ERR867811,ERR867810
SAMEA3275480,OSD172_2014-06-25_3m_NPL022,OSD172_2014-06_NPL022_1,ERR771040,ERR867813,ERR867812
SAMEA3275481,OSD171_2014-06-25_3m_NPL022,OSD171_2014-06_NPL022_1,ERR771041,ERR867815,ERR867814
SAMEA3275482,OSD170_2014-06-25_3m_NPL022,OSD170_2014-06_NPL022_1,ERR771042,ERR867816,ERR867817
SAMEA3275483,OSD169_2014-06-21_0.1m_NPL022,OSD169_2014-06_NPL022_1,ERR771044,ERR867821,ERR867820
SAMEA3275484,OSD168_2014-06-21_2m_NPL022,OSD168_2014-06_NPL022_1,ERR771045,ERR867822,ERR867823
SAMEA3275485,OSD167_2014-06-21_0.1m_NPL022,OSD167_2014-06_NPL022_1,ERR771046,ERR867824,ERR867825
SAMEA3275486,OSD166_2014-06-21_0.5m_NPL022,OSD166_2014-06_NPL022_1,ERR771047,ERR867826,ERR867827
SAMEA3275487,OSD165_2014-06-23_2m_NPL022,OSD165_2014-06_NPL022_1,ERR771048,ERR867828,ERR867829
SAMEA3275488,OSD163_2014-06-20_2m_NPL022,OSD163_2014-06_NPL022_1,ERR771049,ERR867830,ERR867831
SAMEA3275489,OSD162_2014-06-23_1m_NPL022,OSD162_2014-06_NPL022_1,ERR771050,ERR867833,ERR867832
SAMEA3275490,OSD159_2014-06-21_2m_NPL022,OSD159_2014-06_NPL022_1,ERR771051,ERR867835,ERR867834
SAMEA3275491,OSD158_2014-06-21_0m_NPL022,OSD158_2014-06_NPL022_1,ERR771052,ERR867836,ERR867837
SAMEA3275492,OSD157_2014-06-20_80m_NPL022,OSD157_2014-06_NPL022_2,NA,ERR867839,ERR867838
SAMEA3275493,OSD157_2014-06-20_1m_NPL022,OSD157_2014-06_NPL022_1,ERR771053,ERR867840,ERR867841
SAMEA3275494,OSD156_2014-06-21_1m_NPL022,OSD156_2014-06_NPL022_2,ERR771054,ERR867842,ERR867843
SAMEA3275495,OSD156_2014-06-21_11.8m_NPL022,OSD156_2014-06_NPL022_1,NA,ERR867845,ERR867844
SAMEA3275496,OSD155_2014-06-21_12.8m_NPL022,OSD155_2014-06_NPL022_1,NA,ERR867849,ERR867848
SAMEA3275497,OSD155_2014-06-21_1m_NPL022,OSD155_2014-06_NPL022_2,ERR771055,ERR867846,ERR867847
SAMEA3275498,OSD154_2014-06-20_1m_NPL022,OSD154_2014-06_NPL022_1,ERR771056,ERR867851,ERR867850
SAMEA3275499,OSD153_2014-06-21_0m_NPL022,OSD153_2014-06_NPL022_1,ERR771057,ERR867853,ERR867852
