column_title,description,parameter_url,unit,unit_url
SampleID,"Sampling id, constructed as OSD{SiteLabel}_{year}-{month}_{protocol}_{replicate}",https://schema.org/identifier,None,None
Campaign,Campaign name,https://schema.org/identifier,None,None
SiteLabel,Local site number,https://schema.org/identifier,None,None
EventID,Event ID as used in later OSD years. constructed as {SiteLabel}_{year}-{month},https://schema.org/identifier,None,None
Logsheet,The URL to the logsheet for each sampling event,https://schema.org/URL,None,None
Objective,Objective,https://schema.org/description,None,None
DateTime,Date and time,https://schema.org/DateTime,None,None
Latitude,Latitude of event,https://schema.org/location,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
Longitude,Longitude of event,https://schema.org/location,decimal degree,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/
Depth,Depth sample was taken from ,https://schema.org/depth,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
Country,ISO 3-letter code,https://schema.org/Country,,None
CoastDistance,Distance to the coast line,https://schema.org/Distance,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
LME,Large Marine Ecosystem,https://schema.org/location,None,None
LMEDistance,Distance to the nearest LME,https://schema.org/Distance,metre,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/
MarineRegion,Marine Region name,https://schema.org/location,None,None
MRGID,Marine Region Geographic Id,https://schema.org/identifier,None,None
ENVIRO_Biome,Descriptor of the broad ecological context of a sample,http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_00000428,None,None
ENVIRO_Feature,Feature is a descriptor of a geographical aspect or physical entity that strongly influences the more local environment of a sample,https://schema.org/description,None,None
ENVIRO_Material,"Material that was sampled, or where it was embedded",http://www.ontobee.org/ontology/ENVO?iri=http://purl.obolibrary.org/obo/ENVO_00010483,None,None
EVENT_device,Sampling device,http://vocab.nerc.ac.uk/collection/L05/current/30/,None,None
SAMPLE_description,Description of sample,https://schema.org/description,None,None
SAMPLE_platform,Platform from which the sampling occurred,http://www.w3.org/ns/sosa/Platform,None,None
SAMPLE_Protocol,Protocol: NPL022 Protocol A or NE08 Protocol B; see OSD IMIS metadata record for a copy of these,http://rs.tdwg.org/dwc/terms/samplingProtocol,None,None
SAMPLE_Quantity,"Sampled quantity: not transposed from the paper logsheets so see ""logsheet""",,,
SAMPLE_Container,"Sampled container: not transposed from the paper logsheets so see ""logsheet""",,,
SAMPLE_Content,"Sampled content: not transposed from the paper logsheets so see ""logsheet""",,,
SAMPLE_FilterUpper,"Sampled filter size: not transposed from the paper logsheets so see ""logsheet""",,,
SAMPLE_FilterLower,"Sampled filter size: not transposed from the paper logsheets so see ""logsheet""",,,
SAMPLE_TreatmentChemicals,"Sampled treatment: not transposed from the paper logsheets so see ""logsheet""",,,
SAMPLE_TreatmentStorage,"Sampled treatment: not transposed from the paper logsheets so see ""logsheet""",,,
BiosampleAccessionNumber,ENA biosample accession number. Can be accessed via https://www.ebi.ac.uk/ena/data/view/[the ENA ID],https://schema.org/identifier,None,None
BiosampleAccessionNumber_comment,comment about the ENA biosample accession number,,,
SampleAssessionNumber,ENA sample accession number. Can be accessed via https://www.ebi.ac.uk/ena/data/view/[the ENA ID],https://schema.org/identifier,None,None
SampleAssessionNumber_comment,comment about the ENA sample accession number,,,
Temperature,Temperature of the water,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,celsius,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/
Salinity,Salinity of the water,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,psu,http://vocab.nerc.ac.uk/collection/P06/current/UGKG/
pH,"Alkalinity, acidity and pH of the water column",https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,None,None
PO43,Phosphate concentration parameters in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
NO3,Nitrate concentration parameters in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
POC,Particulate organic carbon concentration in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,microgram/l,http://vocab.nerc.ac.uk/collection/P06/current/UGPL/
NO2,Nitrite concentration parameters in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
DOC,Dissolved organic carbon concentration in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
NanoMicroPlankton,Abundance of nano/micro plankton cells in the water column (+other avail. cell properties),https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,count/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
PAR,Visible waveband radiance and irradiance measurements in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/m^2/s,http://vocab.nerc.ac.uk/collection/P06/current/UM2S/
Conductivity,Electrical conductivity of water,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,mS/cm,http://vocab.nerc.ac.uk/collection/P06/current/MSCM/
PP_C,Primary Production (isotope uptake) in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,mg/m^3/day,http://vocab.nerc.ac.uk/collection/P06/current/UGDC/
Oxygen,Primary Production (oxygen) in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/kg,http://vocab.nerc.ac.uk/collection/P06/current/KGUM/
PON,Particulate organic nitrogen concentration in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
MesoMacroPlankton,Abundance of meso/macro plankton cells in the water column (+other avail. cell properties),https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,count/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UPMM/
BacterialProduction_C,Bacterial production in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,mg/m^3/day,http://vocab.nerc.ac.uk/collection/P06/current/UGDC/
DON,Dissolved organic nitrogen concentration in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,mg/l,http://vocab.nerc.ac.uk/collection/P06/current/UMGL/
NH4+,Ammonium concentration parameters in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
SiOH4 ,Silicate concentration parameters in the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,micromol/l,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/
Turbidity,Transmittance and attenuance of the water column,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,FTU,http://vocab.nerc.ac.uk/collection/P06/current/USTU/
Fluorometer,Raw (volts) or converted (mg Chla/m^3) fluorescence of the water,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,V,http://vocab.nerc.ac.uk/collection/P06/current/UVLT/
Chl_a,Concentration of chlorophyll a extracted and analysed by fluorometer or HPLC,https://dwc.tdwg.org/list/#dwc_MeasurementOrFact,mg/m^3,http://vocab.nerc.ac.uk/collection/P06/current/UMMC/
